Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
?,6,3,3,0,0.0208333333333333,0.5
0,13,6,7,2.5,0.0227272727272727,0.538461538461538
1,2,1,1,0,0.0188679245283019,0.5
2,29,10,19,81.7547619047619,0.0303030303030303,0.655172413793103
3,8,5,3,2.78571428571429,0.0212765957446809,0.375
4,34,11,23,124.278571428571,0.0344827586206897,0.676470588235294
5,15,5,10,6.79166666666667,0.0238095238095238,0.666666666666667
6,10,3,7,0.458333333333333,0.0222222222222222,0.7
7,1,1,0,0,0.0185185185185185,0
8,12,8,4,2.93333333333333,0.0232558139534884,0.333333333333333
9,7,4,3,2.75,0.0212765957446809,0.428571428571429
A,27,9,18,66.4690476190476,0.0294117647058824,0.666666666666667
B,1,1,0,0,0.0169491525423729,0
C,3,3,0,0,0.02,0
D,5,3,2,0,0.02,0.4
E,4,4,0,0,0.0208333333333333,0
F,8,5,3,26.1428571428571,0.0212765957446809,0.375
G,1,1,0,0,0.0172413793103448,0
H,5,5,0,0,0.0212765957446809,0
J,6,5,1,0,0.0212765957446809,0.166666666666667
K,2,2,0,0,0.0192307692307692,0
M,14,7,7,5.13571428571429,0.0232558139534884,0.5
N,2,2,0,0,0.0192307692307692,0
P,2,2,0,0,0.0192307692307692,0
Q,2,2,0,0,0.0188679245283019,0
R,2,2,0,0,0.0196078431372549,0
S,1,1,0,0,0.0172413793103448,0
