ID,Year,Host,strain name
EPI2179556,2022,Aves,A/Catalina macaw/Michigan/22-010848-002/2022
EPI2913205,2023,Galliformes,A/turkey/Valparaiso/245562-1/2023
EPI3567375,2024,Aves,A/bufflehead/New Jersey/24-009315-002-original/2024
EPI2751364,2022,Galliformes,A/chicken/Hokkaido/22B11C/2022
EPI3292966,2024,Aves,A/large-billed crow/Hokkaido/B147/2024
EPI2028777,2022,Anseriformes,A/greylag goose /Netherlands/22006859-001/2022
EPI2243672,2022,Aves,A/turkey/Minnesota/22-011794-001/2022
EPI2070233,2022,Anseriformes,A/greylag goose/Netherlands/22009668-002/2022
EPI2755718,2023,mammals,A/arctic-fox/Finland/1908/2023
EPI2181855,2022,Aves,A/red-shouldered hawk/Minnesota/22-012000-004/2022
EPI2220102,2022,Aves,A/Common tern/South Africa/686940 CT013/2022
EPI2179548,2022,Aves,A/Amazon parrot/Michigan/22-010848-001/2022
EPI2755710,2023,mammals,A/arctic-fox/Finland/1842/2023
EPI2751356,2022,Galliformes,A/chicken/Hokkaido/22A9T/2022
EPI3139873,2024,Anseriformes,A/greater_white-fronted_goose/Czech_Republic/OMB-2275/2024
EPI2374868,2021,Aves,A/pelican/Russia/932-0121/2021
EPI2794499,2023,Anseriformes,A/barnacle goose/Sweden/SVA231107SZ0383/FB004550/H-2023
EPI3292958,2024,Aves,A/large-billed crow/Hokkaido/B132/2024
EPI3093279,2024,Anseriformes,A/teal/Italy/24VIR668-3/2024
EPI2028769,2022,Anseriformes,A/barnacle goose/Netherlands/22007405-004/2022
EPI2374860,2021,Aves,A/pelican/Russia/1032-1/2021
EPI2070225,2022,Aves,A/white stork/Netherlands/22009667-002/2022
EPI3555390,2023,Galliformes,A/chicken/Cochabamba/39391/2023
EPI3093271,2024,Falconiformes,A/peregrine-falcon/Cyprus/24VIR1053/2024
EPI2028761,2022,Anseriformes,A/greylag goose/Netherlands/22005578-001/2022
EPI3298252,2022,Aves,A/Red-breasted_Merganser/NS/FAV-0113-1/2022
EPI2181847,2022,Aves,A/black vulture/Florida/22-010358-001/2022
EPI3567359,2024,Aves,A/Canada goose/Massachusetts/24-007313-001-original/2024
EPI2751348,2022,Galliformes,A/chicken/Hokkaido/22A7T/2022
EPI3139865,2024,Galliformes,A/chicken/Czech_Republic/3549-15/2024
PQ052738,2024,Galliformes,A/chicken/MI/24-013788-002-original/2024
EPI2751340,2022,Galliformes,A/chicken/Hokkaido/22A3C/2022
EPI2374852,2021,Anseriformes,A/goose/Chelyabinsk/1341-3/2021
EPI2506092,2021,Aves,A/avian/Nigeria/VRD-21-174_21VIR7423-22/2021
EPI3093263,2023,Galliformes,A/turkey/Croatia/76_24VIR670-1/2023
EPI2028753,2022,Anseriformes,A/mute swan/Netherlands/22004560-001/2022
EPI2181839,2022,Aves,A/chicken/Pennsylvania/22-012092-006/2022
EPI2856299,2023,Aves,A/Red_Tailed_Hawk/BC/AIVPHL-990/2023
EPI3311610,2022,Aves,A/Chicken/SK/FAV-0955-1/2022
EPI3139857,2024,Galliformes,A/chicken/Czech_Republic/3549-14/2024
EPI1956834,2022,Galliformes,A/chicken/Croatia/7/2022 
EPI1956833,2022,Anseriformes,A/mute swan/Croatia/6/2022 
EPI2751332,2023,Galliformes,A/chicken/Hiroshima/22F9T/2023
PQ052722,2024,Galliformes,A/chicken/MI/24-010651-001-original/2024
EPI2374844,2021,Anseriformes,A/duck/Chelyabinsk/1379-1/2021
EPI2506084,2021,Aves,A/avian/Nigeria/VRD-21-140_21VIR7423-19/2021
EPI2794475,2023,Galliformes,A/turkey/Italy/23VIR10226-13/2023
PQ591837,2024,Primates,A/Washington/251/2024
EPI3298236,2022,Aves,A/Great_Black-Backed_Gull/NS/FAV-0105-1/2022
PQ591833,2024,Primates,A/Washington/252/2024
EPI2868255,2023,mammal,A/sea lion/Biobio/SJCEIRR-2462961/2023
EPI3408951,2024,Galliformes,A/turkey/Iowa/24-016003-002/2024
EPI3311602,2022,Aves,A/Canada_Goose/ON/FAV-1590-1/2022
EPI3139849,2024,Galliformes,A/chicken/Czech_Republic/3549-11/2024
EPI2856282,2022,Aves,A/Canada_Goose/BC/AIVPHL-844/2022
EPI3298228,2022,Aves,A/Herring_Gull/NS/FAV-0111-1/2022
PQ591824,2024,Primates,A/California/150/2024
EPI2456222,2023,Anseriformes,A/black-swan/Switzerland-Zurich/230131/2023
EPI2362860,2022,Anseriformes,A/white-fronted goose/Japan/TU16-74/2022
EPI3328495,2023,Aves,A/turkey/Minnesota/23-038114-001/2023
EPI2856279,2023,Aves,A/Great_Horned_Owl/BC/AIVPHL-1388/2023
EPI3609567,2024,Accipitriformes,A/mountain hawk-eagle/Hokkaido/20240219-001/2024
EPI2856275,2023,Aves,A/Barred_Owl/BC/AIVPHL-982/2023
EPI3567327,2024,Aves,A/mallard/New Hampshire/24-004334-037-original/2024
EPI2487397,2023,Animal,A/large-billed crow/Hokkaido/B007/2023
EPI2751316,2023,Galliformes,A/chicken/Hiroshima/22E4T/2023
EPI2456214,2023,Aves,A/gull/Switzerland-Luzern/230119/2023
EPI3093231,2024,Anseriformes,A/cygnus-cygnus/Romania/10006_24VIR1002-12/2024
EPI2868235,2023,Aves,A/Peruvian booby/Antofagasta/236109-1/2023
EPI3298212,2022,Aves,A/American_Crow/NB/FAV-0117-1/2022
EPI3328487,2023,Aves,A/chicken/Arkansas/23-037636-002/2023
EPI3609559,2024,Aves,A/large-billed crow/Osaka/2702A041/2024
EPI2181803,2022,Aves,A/emu/Hokkaido/A-2/2022
EPI2782480,2021,Anseriformes,A/duck/Poland/H1980_21RS3290-11/2021
EPI2487389,2023,Aves,A/large-billed crow/Hokkaido/B006/2023
EPI2751308,2023,Galliformes,A/chicken/Hiroshima/22E2T/2023
EPI2713099,2022,Anseriformes,A/Gadwall/South Carolina/USDA-001743-008/2022
EPI3605195,2023,Aves,A/ferruginous hawk/Colorado/23-015630-001-original/2023
EPI2713096,2022,Aves,A/Great Horned Owl/Florida/USDA-007915-007/2022
EPI2751300,2022,Galliformes,A/chicken/Hiroshima/22D5T/2022
EPI2705485,2022,Anseriformes,A/goose/Alaska/USDA-013831-003/2022
EPI3408928,2024,Artiodactyla,A/dairy cow/Wyoming/24_016134-223/2024
EPI2456206,2023,Aves,A/heron/Switzerland-Basel/230080/2023
EPI3093223,2024,Anseriformes,A/cygnus-cygnus/Romania/10018_24VIR1002-11/2024
EPI1995586,2022,Aves,A/Barnacle Goose/Netherlands/11/2022
EPI3631430,2024,Aves,A/Cackling_Goose/BC/AIVPHL-2534/2024
EPI3298204,2022,Aves,A/Ruffed_Grouse/NL/FAV-0114-1/2022
EPI2456201,2022,Anseriformes,A/mute-swan/Switzerland-Ticino/221214/2022
EPI3328479,2023,Aves,A/turkey/Minnesota/23-037474-002/2023
EPI2782472,2021,Galliformes,A/turkey/Poland/H1977_21RS3290-10/2021
EPI2856258,2022,Aves,A/Trumpeter_Swan/BC/AIVPHL-836/2022
EPI3328471,2023,Aves,A/turkey/Minnesota/23-037474-001/2023
EPI2856255,2023,Aves,A/Canada_Goose/BC/AIVPHL-1386/2023
EPI3609543,2024,Aves,A/large-billed crow/Osaka/2702A039/2024 
EPI2856251,2023,Aves,A/Great_Horned_Owl/BC/AIVPHL-981/2023
EPI3061673,2024,Galliformes,A/Chicken/England/005435/2024
EPI2713082,2022,Anseriformes,A/Gadwall/Virginia/USDA-003923-001/2022
EPI3093215,2023,Anseriformes,A/cygnus-olor/Romania/17003_24VIR1002-10/2023
EPI3631422,2024,Aves,A/Cackling_Goose/BC/AIVPHL-2533/2024
EPI3408915,2024,Artiodactyla,A/dairy cow/Wyoming/24_016134-226/2024
EPI3412167,2024,Artiodactyla,A/dairy cow/Minnesota/24_016370-019/2024
EPI2782464,2021,Galliformes,A/chicken/Poland/H1976_21RS3290-9/2021
EPI3139808,2024,Galliformes,A/chicken/Czech_Republic/3458-1/2024
EPI3308888,2022,Aves,A/Western_Grebe/AB/FAV-0833-45/2022
EPI3605177,2023,Aves,A/chicken/Michigan/23-008143-001-original/2023
EPI3555328,2023,Galliformes,A/turkey/Valparaiso/245886-3/2023
EPI3093207,2023,Galliformes,A/hens/Romania/16996_24VIR1002-8/2023
EPI1995569,2022,Aves,A/Barnacle Goose/Netherlands/10/2022
EPI2850934,2022,Galliformes,A/Chicken/BC/AIVPHL-151/2022
EPI3328455,2023,Aves,A/turkey/Minnesota/23-037472-003/2023
EPI2198676,2022,Anseriformes,A/Bufflehead_Duck/Northern_Ireland/012321/2022
EPI3609527,2024,Aves,A/large-billed_crow/Hokkaido/0102G060/2024
EPI2856234,2022,Aves,A/Great_Blue_Heron/BC/AIVPHL-835/2022
EPI3316487,2023,Aves,A/American_Crow/ON/FAV-0149-1/2023
EPI2856231,2023,Aves,A/American_Crow/BC/AIVPHL-1384/2023
EPI3324094,2022,Anseriformes,A/mallard/Alaska/IZ22_0879/2022
EPI2506029,2021,Aves,A/avian/Nigeria/VRD-21-020_21RS744-62/2021
EPI3605163,2023,Aves,A/chicken/Missouri/23-015567-001-original/2023
EPI3631406,2024,Aves,A/Cackling_Goose/BC/AIVPHL-2535/2024
EPI2713064,2022,Aves,A/Great Horned Owl/Iowa/USDA-010620-001/2022
EPI3605161,2023,Aves,A/mallard/New Hampshire/23-008141-001-original/2023
EPI2506021,2021,Aves,A/avian/Nigeria/VRD-21-019_21RS744-61/2021
EPI2701096,2023,Aves,A/Thalasseus_acuflavidus/Brazil-ES/23ES1A0009/2023
EPI2906078,2023,Aves,A/turkey/Minnesota/23-035802-001/2023
EPI3328447,2023,Aves,A/turkey/Minnesota/23-037472-001/2023
EPI2198668,2022,Galliformes,A/turkey/Wales/132240/2022
EPI3609519,2024,Aves,A/large-billed crow/Hokkaido/0101G059/2024
EPI2782440,2021,Anseriformes,A/duck/Poland/H1969_21RS3290-6/2021
EPI2856227,2023,mammal,A/Striped_Skunk/BC/AIVPHL-977/2023
EPI3316479,2023,Aves,A/Canada_Goose/NS/FAV-0122-4/2023
EPI2631669,2023,Aves,A/sandwich_tern/Italy/23VIR5828-3/2023
EPI3324086,2022,Anseriformes,A/mallard/Alaska/IZ22_0894/2022
EPI2198660,2022,Galliformes,A/turkey/England/133112/2022
EPI3609511,2024,Anseriformes,A/whooper_swan/Hokkaido/0101P110/2024
EPI3324080,2022,Anseriformes,A/mallard/Alaska/22-036139-016/2022
EPI3555308,2023,Charadriiformes,A/kelp gull/Atacama/234251-1/2023
EPI2506013,2021,Aves,A/avian/Nigeria/748_22VIR3286-34/2021
EPI3555302,2023,Aves,A/gray gull/Arica/239053-1/2023
EPI3648295,2024,Artiodactyla,A/dairy cow/USA/24_031622-009/2024
EPI3328439,2023,Aves,A/chicken/Colorado/23-037463-002/2023
EPI2906062,2023,Aves,A/chicken/South Dakota/23-035811-001/2023
EPI2198652,2022,Galliformes,A/turkey/England/132948/2022
EPI3609503,2024,Aves,A/large-billed crow/Hokkaido/0101G058/2024
EPI2856210,2022,Aves,A/Trumpeter_Swan/BC/AIVPHL-822/2022
EPI3308856,2022,Aves,A/Great_Horned_Owl/AB/FAV-0833-48/2022
EPI3324072,2022,Anseriformes,A/mallard/Alaska/22-036139-015/2022
EPI3605147,2023,Aves,A/turkey/North Carolina/23-015563-001-original/2023
EPI2555811,2023,Anseriformes,A/barnacle goose /Sweden/SVA230403SZ0115/FB000973/M-2023
EPI2713048,2022,Aves,A/Great Horned Owl/Iowa/USDA-010620-002/2022
EPI3605145,2023,Aves,A/mallard/New Hampshire/23-008139-001-original/2023
EPI2506005,2021,Aves,A/avian/Nigeria/745_22VIR3286-31/2021
EPI3304496,2022,Aves,A/Great_Horned_Owl/ON/FAV-0378-5/2022
EPI2782424,2021,Galliformes,A/chicken/Poland/H1962_21RS3290-4/2021
EPI2906054,2023,Aves,A/chicken/South Dakota/23-035815-001/2023
EPI2856207,2023,Aves,A/Green_Winged_Teal/BC/AIVPHL-1381/2023
EPI2198644,2022,Galliformes,A/turkey/England/132460/2022
EPI2856203,2023,mammal,A/Striped_Skunk/BC/AIVPHL-976/2023
EPI3316455,2023,mammals,A/Striped_Skunk/PE/FAV-0123-1/2023
EPI2555803,2023,Anseriformes,A/Graylag goose/Sweden/SVA230322SZ0317/FB000873/H-2023
EPI3308840,2022,Aves,A/Double-Crested_Cormorant/AB/FAV-0833-51/2022
EPI3312098,2022,Aves,A/Canada_Goose/ON/FAV-1193-2/2022
EPI2713035,2022,Aves,A/Great Horned Owl/Minnesota/USDA-011871-012/2022
EPI3304488,2022,Aves,A/Great_Horned_Owl/AB/FAV-0505-43/2022
PQ615353,2024,Primates,A/California/151/2024
EPI3605131,2023,Aves,A/domestic goose/Minnesota/23-014706-004-original/2023
EPI2713032,2022,Aves,A/Great Horned Owl/Iowa/USDA-011678-001/2022
EPI2705420,2022,Anseriformes,A/goose/Minnesota/USDA-011138-002/2022
EPI3312090,2022,Aves,A/Canada_Goose/MB/FAV-1266-4/2022
EPI2906046,2023,Aves,A/turkey/South Dakota/23-035816-002/2023
EPI3328415,2023,Aves,A/redhead duck/Minnesota/23-032692-005/2023
EPI2198636,2022,Galliformes,A/turkey/England/132310/2022
EPI3250273,2024,Aves,A/Swift tern/South Africa/AI9992/2024
EPI3324059,2022,Anseriformes,A/green-winged teal/Alaska/22-031399-019/2022
EPI2067434,2022,Aves,A/turkey/Minnesota/22-010092-002/2022
EPI3316447,2023,Aves,A/Canada_Goose/ON/FAV-0120-3/2023
EPI3324051,1905,Charadriiformes,A/glaucous gull/Alaska/22-023553-001/1905
EPI3308832,2022,Aves,A/Double-Crested_Cormorant/AB/FAV-0833-50/2022
EPI597831,2014,Galliformes,A/chicken/Egypt/FA-7/2014
PQ615343,2024,Primates,A/California/173/2024
EPI2782408,2021,Galliformes,A/turkey/Poland/H1923_21RS3290-1/2021
EPI1198896,2017,Galliformes,A/chicken/Tien Giang/AI452/2017
EPI3328407,2023,Aves,A/mallard/North Dakota/23-032480-003/2023
EPI2906030,2023,Aves,A/domestic duck/California/23-036543-001/2023
EPI2198620,2022,Galliformes,A/turkey/England/122476/2022
EPI3324043,1905,Charadriiformes,A/glaucous gull/Alaska/22-023553-003/1905
EPI2525188,2023,Anseriformes,A/duck/Austria/23000036/2023
EPI3308824,2022,Aves,A/Double-Crested_Cormorant/AB/FAV-0833-44/2022
PQ615338,2024,Primates,A/California/172/2024
EPI2713019,2022,Aves,A/Great Horned Owl/Minnesota/USDA-011871-014/2022
EPI3109145,2023,Hexapoda,A/blow fly/Kagoshima/23a738D/2023
EPI3316431,2023,Aves,A/American_Crow/NS/FAV-0122-1/2023
EPI2705407,2022,Anseriformes,A/Wood Duck/Michigan/USDA-009361-014/2022
EPI2713016,2022,Aves,A/Great Horned Owl/Michigan/USDA-012056-006/2022
EPI3359574,2024,Aves,A/sanderling/Virginia/W24-190K/2024
EPI3312074,2022,Aves,A/Canada_Goose/AB/FAV-1166-1/2022
EPI1198888,2017,Galliformes,A/chicken/Tien Giang/AI454/2017
EPI3630984,2024,Artiodactyla,A/dairy cow/USA/24_031331-001/2024
EPI2906022,2023,Aves,A/chicken/South Dakota/23-036549-001/2023
EPI2067418,2022,Aves,A/turkey/Minnesota/22-010085-001/2022
EPI2198612,2022,Galliformes,A/pheasant/England/393437/2022
EPI3324035,2022,Charadriiformes,A/glaucous gull/Alaska/22-024502-001/2022
EPI2236495,2022,mammal,A/Red Fox/PEI/FAV-0591-01/2022
EPI3316423,2023,Aves,A/Canada_Goose/NS/FAV-0135-2/2023
EPI3312066,2022,Aves,A/California_Gull/AB/FAV-1166-11/2022
EPI2713003,2022,Aves,A/Great Horned Owl/Minnesota/USDA-012006-001/2022
EPI3304456,2022,Aves,A/Red-Tailed_Hawk/MB/FAV-0415-3/2022
EPI2701038,2023,Aves,A/Thalasseus_maximus/Brazil-ES/23ES1A0008/2023
EPI3630976,2024,Artiodactyla,A/dairy cow/USA/24_031333-001/2024
EPI2943857,2023,Aves,A/Common tern/South Africa/719984 CMT007/2023
EPI2812657,2023,Aves,A/common_crane/France/23P010630/2023
EPI3324027,2022,Charadriiformes,A/glaucous gull/Alaska/22-025499-001/2022
EPI3308808,2022,Aves,A/Black-Billed_Magpie/AB/FAV-0833-52/2022
EPI2067402,2022,Aves,A/turkey/North Dakota/22-010015-001/2022
EPI3316415,2023,Aves,A/Hooded_Merganser/ON/FAV-0118-2/2023
EPI2244091,2022,Charadriiformes,A/Arctic_tern/Denmark/05803-1.01/2022
EPI3312058,2022,Aves,A/Cackling_Goose/BC/FAV-0053-44/2022
EPI3630968,2024,Artiodactyla,A/dairy cow/USA/24_031334-001/2024
EPI3312050,2022,Aves,A/Blue-Winged_Teal/QC/FAV-1149-5/2022
EPI2670385,2023,Aves,A/Peregrine Falcon/Netherlands/14/2023
EPI1198864,2017,Anseriformes,A/duck/Nghe An/AI463/2017
EPI2906006,2023,Aves,A/turkey/South Dakota/23-036552-001/2023
EPI3324019,1905,Charadriiformes,A/glaucous gull/Alaska/22-031916-001/1905
EPI2236479,2022,mammal,A/Red Fox/PEI/FAV-0592-02/2022
EPI2312568,2022,Galliformes,A/chicken/Czech_Republic/22911-1/2022
EPI3316407,2023,Aves,A/Canada_Goose/ON/FAV-0137-6/2023
EPI3324011,2022,Charadriiformes,A/glaucous gull/Alaska/22-042131-001/2022
EPI2300596,2022,Aves,A/black-headed_gull/England/120011/2022
EPI3312042,2022,Aves,A/Blue-Winged_Teal/QC/FAV-1149-4/2022
EPI2475301,2022,Anseriformes,A/Canada_goose/England/394558/2022
EPI3630956,2024,Artiodactyla,A/dairy cow/USA/24_031349-001/2024
EPI2670377,2023,Aves,A/Black-headed Gull/Netherlands/53/2023
EPI1198856,2017,Galliformes,A/chicken/Binh Duong/AI456/2017
EPI3324005,2022,Aves,A/great blue heron/Alaska/22-036616-001/2022
EPI2299183,2022,Anseriformes,A/Graylag goose/Sweden/SVA230103SZ0387/FB000028/M-2022
EPI3616676,2024,Galliformes,A/chicken/USA/24-030010-002/2024
EPI1945291,2021,Aves,A/buzzard/Germany-SH/AI06210/2021
EPI3293362,2024,Aves,A/Greylag Goose/Germany-HE/2024AI01561/2024
EPI3409386,2024,Artiodactyla,A/dairy cow/Idaho/24_014338-004/2024
EPI3616670,2024,Artiodactyla,A/dairy cow/USA/24_029174-001/2024
EPI2509923,2023,Aves,A/black-headed_gull/England/258716/2023
EPI3630948,2024,Artiodactyla,A/dairy cow/USA/24_031349-002/2024
EPI2670369,2023,Aves,A/Black-headed Gull/Netherlands/52/2023
EPI2300580,2022,Aves,A/mute_swan/England/119983/2022
EPI2704993,2022,Aves,A/Sanderling/New York/USDA-011587-001/2022
EPI3630940,2024,Artiodactyla,A/dairy cow/USA/24_030166-001/2024
EPI2670361,2023,Aves,A/Black-headed Gull/Netherlands/51/2023
EPI1198840,2016,Anseriformes,A/duck/Nghe An/AI466/2016
EPI3411686,2024,Artiodactyla,A/dairy cow/Minnesota/24_016523-005/2024
EPI1937671,2021,Anseriformes,A/mute_swan/Poland/MB490-L1/2021
EPI2509915,2023,Aves,A/pink-footed_goose/Scotland/323521/2023
EPI2017199,2022,Galliformes,A/chicken/Nebraska/22-009006-001/2022
EPI3409370,2024,Artiodactyla,A/dairy cow/Idaho/24_014338-006/2024
OP874615,2022,Pelecaniformes,A/Great_White_Pelican/Mauritania/11/2022
EPI3604695,2022,Aves,A/green-winged teal/Iowa/23-030280-002-original/2022
EPI2712590,2022,Aves,A/Green-winged Teal/North Carolina/USDA-004007-005/2022
EPI1198832,2017,Galliformes,A/chicken/Nghe An/AI461/2017
EPI2299167,2022,Anseriformes,A/Mute swan/Sweden/SVA221222SZ0277/FB004932/E-2022
PQ773299,2024,Primates,A/California/194/2024
EPI1945275,2021,Aves,A/barnacle goose/Germany-SH/AI06145/2021
EPI3293345,2024,mammal,A/fox/Germany-HH/2024AI01565/2024
EPI1937663,2021,Galliformes,A/turkey/Poland/H1944-N/2021
EPI1963905,2021,Anseriformes,A/Greylag_goose/England/054503/2021
EPI2509907,2022,mammal,A/harbour_seal/Scotland/054948/2022
EPI2150691,2022,Aves,A/Sandwich tern/Sweden/SVA220617SZ0303/FB001933/K-2022
EPI3304408,2022,Aves,A/Black-Billed_Magpie/SK/FAV-0575-45/2022
EPI2779660,2021,Anseriformes,A/duck/Vietnam/HN7664/2021
EPI2300564,2022,Aves,A/common_buzzard/England/255858/2022
EPI2712588,2022,Anseriformes,A/goose/New Hampshire/USDA-006203-003/2022
EPI2513156,2022,Aves,A/American Crow/PEI/FAV-0019-4/2022
EPI2017183,2022,Galliformes,A/chicken/Michigan/22-008890-006/2022
EPI3630925,2024,Artiodactyla,A/dairy cow/USA/24_031615-002/2024
EPI2437060,2023,Galliformes,A/Gallus_gallus/Belgium/01111_0002/2023
EPI2917564,2023,Environment,A/environment/Kagoshima/KU-E3/2023 (H5N1)
EPI1945267,2021,Anseriformes,A/greylag goose/Germany-SH/AI06144/2021
EPI1937655,2021,Anseriformes,A/domestic_duck/Poland/H1942-N/2021
EPI2299151,2022,Anseriformes,A/barnacle goose/Sweden/SVA221202SZ0214/FB004698/M-2022
EPI2931834,2024,Galliformes,A/chicken/Czech_Republic/314-4/2024
EPI3315999,2023,Aves,A/Canada_Goose/PE/FAV-0068-1/2023
EPI2150683,2022,Aves,A/Sandwich tern/Sweden/SVA220617SZ0291/FB001930/K-2022
EPI3616640,2024,Artiodactyla,A/dairy cow/USA/24_028243-001/2024
EPI3312002,2022,Aves,A/Black-Billed_Magpie/AB/FAV-1166-15/2022
EPI2670337,2023,Aves,A/Peregrine Falcon/Netherlands/11/2023
EPI3261787,2024,Artiodactyla,A/dairy cow/Texas/24_009110-015/2024
EPI3630911,2024,Artiodactyla,A/dairy cow/USA/24_031618-001/2024
EPI1937647,2021,Galliformes,A/chicken/Poland/H1940-N/2021
EPI2074588,2022,Aves,A/turkey/Minnesota/22-010127-001/2022
EPI2299141,2022,Anseriformes,A/barnacle goose/Sweden/SVA221130SZ0475/FB004691/M-2022
EPI2150675,2022,Charadriiformes,A/black-headed gull/Sweden/SVA220617SZ0305/FB001920/K-2022
EPI3409346,2024,Artiodactyla,A/dairy cow/Idaho/24_015195-002/2024
EPI2300548,2022,Galliformes,A/chicken/England/175137/2022
EPI2074580,2022,Aves,A/turkey/Minnesota/22-010126-002/2022
EPI3315983,2023,Aves,A/American_Crow/PE/FAV-0068-6/2023
EPI3134939,2021,Galliformes,A/chicken/Greater Accra /AI-T-21-0036/2021
EPI2017167,2022,Anseriformes,A/domestic duck/Michigan/22-008890-001/2022
EPI2704959,2022,Aves,A/Sandhill Crane/North Dakota/USDA-013131-001/2022
EPI1198808,2017,Galliformes,A/chicken/Nghe An/AI460/2017
EPI3630905,2024,Artiodactyla,A/dairy cow/USA/24_031618-002/2024
EPI2712563,2022,Aves,A/Great Horned Owl/North Dakota/USDA-011571-001/2022
EPI2712560,2022,Anseriformes,A/goose/New Hampshire/USDA-010920-002/2022
EPI3508998,2024,Artiodactyla,A/dairy cow/USA/24_021768-001/2024
EPI2670321,2023,Aves,A/Black-headed Gull/Netherlands/49/2023
EPI2220092,2022,Aves,A/African black oystercatcher/South Africa/682489/2022
EPI1937639,2021,Anseriformes,A/domestic_goose/Poland/H1931-T1/2021
EPI2837096,2023,mammals,A/arctic-fox/Finland/752/2023
EPI2913183,2023,Galliformes,A/chicken/Metropolitana/243148-1/2023
EPI2931818,2024,Galliformes,A/chicken/Czech_Republic/314-1/2024
EPI1945243,2021,Anseriformes,A/domestic goose/Germany-SH/AI06150/2021
EPI2150667,2022,Charadriiformes,A/black-headed gull/Sweden/SVA220616SZ0350/FB001882/M-2022
EPI3409338,2024,Artiodactyla,A/dairy cow/Idaho/24_015195-003/2024
PQ710545,2022,Glaucous_Charadriiformes,A/Glaucous Gull/AK/22-031916-001-original/2022
EPI3323587,2022,Anseriformes,A/northern pintail/Alaska/IZ22_0335/2022
EPI3315975,2023,Aves,A/American_Crow/PE/FAV-0068-5/2023
EPI3323583,2022,Anseriformes,A/northern pintail/Alaska/IZ22_0355/2022
EPI2300532,2022,Galliformes,A/chicken/Scotland/173833/2022
EPI2437035,2023,mammal,A/Mustela_putorius/Belgium/01421_0001/2023
EPI2670313,2023,Aves,A/Black-headed Gull/Netherlands/47/2023
EPI2220082,2022,Suliformes,A/Cape cormorant/South Africa/681998 DOA059/2022
EPI2837088,2023,mammals,A/arctic-fox/Finland/682/2023
EPI1945235,2021,Anseriformes,A/domestic goose/Germany-SH/AI06147/2021
EPI2837080,2023,mammals,A/mink/Finland/688/2023
EPI3110983,2023,Aves,A/Harris's hawk/Hyogo/HU-FA003/2023
EPI3315967,2023,Aves,A/American_Crow/PE/FAV-0068-4/2023
EPI3323576,2022,Anseriformes,A/northern pintail/Alaska/IZ22_0615/2022
EPI2017143,2022,Galliformes,A/turkey/Iowa/22-008862-002/2022
EPI2670305,2023,Aves,A/Black-headed Gull/Netherlands/46/2023
EPI2220071,2022,Aves,A/Swift tern/South Africa/681998 ST009/2022
EPI3524190,2024,Artiodactyla,A/dairy cow/Idaho/24_016568-001-R2/2024
EPI2837072,2023,Aves,A/herring_gull/Finland/10812/2023
EPI3411620,2024,Artiodactyla,A/dairy cow/Minnesota/24_016523-013/2024
EPI2074556,2022,Aves,A/turkey/Minnesota/22-010125-001/2022
EPI3462376,2024,Galliformes,A/chicken/Colorado/24-020282-001/2024
EPI3110975,2023,Accipitriformes,A/goshawk/Gifu/1/2023
EPI3315959,2023,Aves,A/Canada_Goose/PE/FAV-0058-1/2023
EPI2150643,2022,Aves,A/Sandwich tern/Sweden/SVA220616SZ0350/FB001878/2022
EPI3616600,2024,Artiodactyla,A/dairy cow/USA/24_029893-002/2024
EPI2300515,2022,Anseriformes,A/white-fronted_goose/Scotland/173468/2022
EPI2704928,2022,Anseriformes,A/Ross's Goose/North Dakota/USDA-010663-023/2022
EPI2699163,2023,Aves,A/wild_bird/Gambia/23_198_TJ008_23VIR5825-8/2023
EPI2009524,2021,Anseriformes,A/Cygnus columbianus/Hubei/128/2021
EPI3311594,2022,Aves,A/Canada_Goose/ON/FAV-1131-5/2022
EPI3442791,2024,Artiodactyla,A/dairy cow/Idaho/24_011573-015/2024
EPI2755675,2023,mammals,A/arctic-fox/Finland/966/2023
EPI3508964,2024,Artiodactyla,A/dairy cow/South Dakota/24_021716-002/2024
EPI3524182,2024,Artiodactyla,A/dairy cow/Ohio/B24OSU-541/2024
EPI1945219,2021,Aves,A/Eurasian teal/Germany-BY/AI05977/2021
EPI1937607,2021,Galliformes,A/turkey/Poland/H1910-T3/2021
EPI2837064,2023,Aves,A/white-tailed_eagle/Finland/10644/2023
EPI3462368,2024,Galliformes,A/chicken/Colorado/24-020282-002/2024
EPI1945211,2021,Charadriiformes,A/herring gull/Germany-SH/AI06141/2021
EPI2363229,2022,Aves,A/jungle crow/Japan/0504F001/2022
EPI2150634,2022,Anseriformes,A/barnacle goose/Sweden/SVA220609SZ0600/FB001780/H-2022
EPI3409303,2024,Artiodactyla,A/dairy cow/Idaho/24_015196-006/2024
EPI2074540,2022,Aves,A/turkey/Minnesota/22-010124-001/2022
EPI3462360,2024,Galliformes,A/chicken/Colorado/24-020282-003/2024
EPI2017127,2022,Galliformes,A/pheasant/New York/22-008760-008/2022
EPI2699155,2023,Aves,A/wild_bird/Gambia/23_198_TJ007_23VIR5825-7/2023
EPI2220059,2022,Aves,A/Common tern/South Africa/681998 CT010/2022
EPI3303976,2022,Aves,A/Great_Horned_Owl/SK/FAV-0802-8/2022
EPI2437002,2022,Sphenisciformes,A/African penguin/South Africa/702626 AP821/2022
EPI2220051,2022,Galliformes,A/chicken/South Africa/PRL118/2022
EPI1945203,2021,Aves,A/white stork/Germany-MV/AI05979/2021
