ID,Year,Host,strain name
EPI2671566,2023,Charadriiformes,A/black-headed_gull/Spain/1528-7-2023_23VIR6502-9/2023
EPI2191061,2022,Aves,A/red-backed-hawk/Spain/2313-1_22VIR8632-10/2022
EPI2540616,2022,Aves,A/duck/Korea/H79/2022
EPI1958457,2022,mammal,A/polecat/Netherlands/22000516-003/2022
EPI3571270,2024,Artiodactyla,A/dairy cow/Idaho/BI-ME-018/2024
PQ524079,2024,Primates,A/California/168/2024
EPI3298916,2022,Aves,A/Mixed/ON/FAV-0189-4/2022
EPI2614142,2023,Aves,A/Western screech owl/Washington/23-010027-001/2023
EPI2796095,2023,Aves,A/herring gull/Germany-NI/2023AI08764/2023
EPI2114066,2022,Aves,A/Eurasian Spoonbill/Netherlands/1B/2022
EPI2495693,2023,Aves,A/mute_swan/England/122962/2023
EPI3313226,2022,Aves,A/Mixed/SK/FAV-1259-2/2022
EPI3649406,2024,Artiodactyla,A/dairy cow/USA/24_031960-001/2024
EPI2671558,2023,Charadriiformes,A/black-headed_gull/Spain/1509-1-2023_23VIR6502-8/2023
EPI1958449,2021,Accipitriformes,A/common buzzard/Netherlands/21041449-002/2021
EPI3067681,2024,Galliformes,A/Chicken/Norway/2024-02-8-37/2024
EPI3571262,2024,Artiodactyla,A/dairy cow/Idaho/BI-ME-020/2024
EPI2325705,2022,Anseriformes,A/duck/France/22P025252/2022
PQ524068,2024,Primates,A/California/155/2024
EPI2540600,2022,Aves,A/chicken/Korea/H58/2022
EPI1958441,2021,Charadriiformes,A/seagull/Netherlands/21041370-001/2021
EPI2614134,2023,Aves,A/red-tailed hawk/Minnesota/23-010018-001/2023
EPI1938868,2021,Anseriformes,A/greylag goose /Sweden/SVA211118SZ0354/FB004497/I-2021
EPI2114058,2022,Aves,A/Eurasian Spoonbill/Netherlands/1A/2022
EPI2856957,2023,Aves,A/Canada_Goose/BC/AIVPHL-1343/2023
EPI1938860,2021,Charadriiformes,A/European herring gull/Sweden/SVA211116SZ0432/FB004518/M-2021
EPI3294541,2024,Artiodactyla,A/dairy cow/Colorado/UW-9084466/2024
EPI3313218,2022,Aves,A/Mixed/SK/FAV-1259-1/2022
EPI3313210,2022,Aves,A/Chicken/SK/FAV-1261-2/2022
EPI3571254,2024,Artiodactyla,A/dairy cow/Idaho/BI-ME-023/2024
EPI3487554,2024,Artiodactyla,A/dairy cow/Colorado/24_020940-006/2024
EPI2790779,2023,Aves,A/European herring gull/Netherlands/16/2023
EPI2614126,2023,Aves,A/red-tailed hawk/Connecticut/23-009886-001/2023
EPI2856948,2023,Aves,A/Canada_Goose/BC/AIVPHL-1423/2023
EPI1938852,2021,Anseriformes,A/greylag goose /Sweden/SVA211111SZ0376/FB004497/M-2021
LC718274,2022,Passeriformes,A/jungle crow/Hokkaido/0104B087/2022
EPI3313202,2022,Aves,A/Chicken/SK/FAV-1261-1/2022
EPI3571246,2024,Artiodactyla,A/dairy cow/Idaho/BI-MF-006/2024
EPI2671534,2023,Charadriiformes,A/black-headed_gull/Spain/1168-1-2023_23VIR6502-5/2023
EPI2960217,2024,Anseriformes,A/greylag_goose/France/24P000660/2024
EPI1958425,2021,Charadriiformes,A/red knot/Netherlands/21040956-003/2021
EPI2614118,2023,Aves,A/red-tailed hawk/Connecticut/23-009880-001/2023
EPI2614110,2023,Aves,A/red-tailed hawk/Pennsylvania/23-009488-001/2023
EPI1938844,2021,Anseriformes,A/barnacle goose/Sweden/SVA211111SZ0376/FB004496/2021
EPI2114034,2022,Aves,A/Greylag Goose/Netherlands/9/2022
EPI3418156,2024,Artiodactyla,A/dairy cow/Iowa/24_017584-004/2024
EPI3625442,2024,Artiodactyla,A/dairy cow/USA/24_029606-002/2024
LC718266,2022,Passeriformes,A/jungle crow/Akita/0504F001/2022
EPI2725734,2023,Anseriformes,A/duck/Peru/CAL-INS-013/2023
EPI2495665,2022,Anseriformes,A/duck/Choco/ICA-3501/2022
EPI3571238,2024,Artiodactyla,A/dairy cow/Michigan/BI-ME-013/2024
EPI2671526,2023,Anseriformes,A/wild_goose/Spain/1115-3-2023_23VIR6502-4/2023
EPI2960209,2024,Galliformes,A/turkey/France/24P000985/2024
EPI3487533,2024,Artiodactyla,A/dairy cow/Colorado/24_020176-006/2024
EPI3571230,2024,Artiodactyla,A/dairy cow/Texas/BI-MD-029/2024
EPI2960205,2023,Aves,A/Whooper_Swan/England/141839/2023
EPI1938836,2021,Aves,A/common buzzard/Sweden/SVA211111SZ0376/FB004484/2021
EPI2114026,2022,Aves,A/European Herring Gull/Netherlands/9/2022
