Accipiter_atricapillus
Accipiter_cooperii
Aechmophorus_occidentalis
Aegolius_acadicus
Aix_sponsa
Alca_torda
Alle_alle
American_Black_Bear
American_Black_Duck
American_Crow
American_Goshawk
American_Mink
American_white_pelican
American_Wigeon
Anas_acuta
Anas_carolinensis
Anas_platyrhynchos
Anas_rubripes
Anser_albifrons
Anser_caerulescens
Anser_rossii
Antarctic_fur_seal
Aquila_chrysaetos
Ardea_herodias
Asio_otus
Aythya_affinis
Aythya_Americana
Aythya_collaris
Aythya_valisineria
Barn_owl
Barred_Owl
Black_Bear
Black_dolphin
Black-billed_Magpie
Black-Legged_Kittiwake
Blue_Jay
Blue-Winged_Teal
Bonasa_umbellus
Brant
Branta_bernicla
Branta_canadensis
Branta_hutchinsii
Broad-winged_Hawk
Bubo_scandiacus
Bubo_virginianus
Bucephala_albeola
Bucephala_clangula
Budgie
Bufflehead
Burmeister's_porpoise
Buteo_jamaicensis
Buteo_lagopus
Buteo_lineatus
Buteo_platypterus
Buteo_regalis
Buteo_swainsoni
Cackling_Goose
Calidris_alpina
California_Gull
Canada_Goose
Canvasback
Cat
Cathartes_aura
Catoptrophorus_semipalmatus
Chicken
Chicken_and_Duck
Cinnamon_Teal
Circus_cyaneus
Cockatoo_in_house
Columba_livia
Common_dolphin
Common_Eider
Common_Goldeneye
Common_Loon
Common_Merganser
Common_Murre
Common_Raven
Common_Tern
Cooper's_Hawk
Corvus_brachyrhynchos
Corvus_brachyrhynchos_caurinus
Corvus_corax
Cyanocitta_cristata
Cygnus_buccinator
Cygnus_columbianus
Cygnus_olor
Dogs
Dolphin
Double-Crested_Cormorant
Dove
Dovekie
Dunlin
Eared_Grebe
Emu
Falco_columbarius
Falco_peregrinus
Falco_rusticolus
Ferruginous_Hawk
Fiche
Fox
Franklin's_Gull
Fratercula_arctica
Fulmarus_glacialis
Gadwall_Duck
Gavia_immer
Glaucous-winged_Gull
Golden_Eagle
Gray_Seal
Great_Black-Backed_Gull
Great_Blue_Heron
Great_Grey_Owl
Great_Horned_Owl
Great_Shearwater
Greater_White-Fronted_Goose
Greater_Yellowlegs
Green-Winged_Teal
Grey_seal
Guinea_fowl
Guineafowl
Gyrfalcon
Haliaeetus_leucocephalus
Halichoerus_grypus
Harbor_Seal
Harbour_porpoise
Harbour_seal_
Harris's_Hawk
Herring_Gull
Hooded_Merganser
Horned_Grebe
Iceland_Gull
Lagenorhynchus_acutus
Larus_argentatus
Larus_californicus
Larus_delawarensis
Larus_glaucescens
Larus_glaucoides
Larus_marinus
Larus_spp.
Lesser_Scaup
Leucophaeus_pipixcan
Lion
Long-Eared_Owl
Lophodytes_cucullatus
Macaw_in_house
Mareca_americana
Mareca_strepera
Melanitta_deglandi
Melanitta_perspicillata
Mephitis_mephitis
Mergus_merganser
Mergus_serrator
Merlin
Mink
Morus_bassanus
Mute_Swan
Neovison_vison
Northern_Fulmar
Northern_Gannet
Northern_Harrier
Northern_Pintail
Northern_Saw-whet_Owl
Northern_Shoveler
Northwestern_Crow
Ostrich
Other
Otter
Parabuteo_unicinctus
Parrot
Partridge
Pea_fowl
Peacock
Pelecanus_erythrorhynchos
Peregrine_Falcon
Phalacrocorax_auritus
Phasianus_colchicus
Pheasant
Pheasant_and_Peacock
Phoca_vitulina
Pica_hudsonia
Pigeon
Podiceps_auritus
Podiceps_grisegena
Podiceps_nigricollis
Procyon_lotor
Puffinus_gravis
Pusa_hispida
Quail
Raccoon
Razorbill
Red_Fox
Red-breasted_Merganser
Red-Necked_Grebe
Red-Shouldered_Hawk
Red-Tailed_Hawk
Redhead
Ring-Billed_Gull
Ring-Necked_Duck
Ring-Necked_Pheasant
Ringed_Seal
Rissa_tridactyla
Rock_Pigeon
Rooster
Ross's_Goose
Rough-Legged_Hawk
Ruffed_Grouse
Sea_lion
silkies
Snow_Goose
Snowy_Owl
Somateria_mollissima
South_American_bush_dog
Southern_elephant_seal
Spatula_clypeata
Spatula_cyanoptera
Spatula_discors
Sterna_hirundo
Sterna_paradisaea
Striped_skunk
Strix_nebulosa
Strix_varia
Surf_Scoter
Swainson's_Hawk
Swan
Tringa_melanoleuca
Trumpeter_Swan
Tundra_Swan
Turkey
Turkey_Vulture
Tyto_alba
Uria_aalge
Ursus_americanus
Vulpes_vulpes
Western_Grebe
White-Winged_Scoter
Willet
Wood_Duck
