Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Accipitriformes,12,5,7,14,0.0476190476190476,0.583333333333333
Anseriformes,12,5,7,13.5,0.0476190476190476,0.583333333333333
Artiodactyla,1,1,0,0,0.0294117647058824,0
Carnivora,3,3,0,0,0.0357142857142857,0
Casuariiformes,1,1,0,0,0.024390243902439,0
Charadriiformes,8,3,5,6.83333333333333,0.0416666666666667,0.625
Falconiformes,5,4,1,1.16666666666667,0.0416666666666667,0.2
Galliformes,13,5,8,29,0.05,0.615384615384615
Gruiformes,1,1,0,0,0.0303030303030303,0
Passeriformes,9,2,7,3.5,0.0476190476190476,0.777777777777778
Pelecaniformes,1,1,0,0,0.0294117647058824,0
Primates,5,2,3,0,0.037037037037037,0.6
Procellariiformes,1,1,0,0,0.027027027027027,0
Strigiformes,3,3,0,0,0.037037037037037,0
Struthioniformes,3,2,1,7,0.0357142857142857,0.333333333333333
