Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
Accipitriformes,12,5,7,0.5,0.0232558139534884,0.583333333333333
Animal,9,5,4,2.75793650793651,0.0222222222222222,0.444444444444444
Anseriformes,27,9,18,62.115873015873,0.03125,0.666666666666667
Artiodactyla,10,3,7,0.458333333333333,0.0232558139534884,0.7
Aves,33,11,22,124.945238095238,0.0357142857142857,0.666666666666667
Carnivora,12,8,4,2.26666666666667,0.024390243902439,0.333333333333333
Charadriiformes,15,5,10,7.23611111111111,0.025,0.666666666666667
Ciconiiformes,1,1,0,0,0.0175438596491228,0
Columbiformes,4,4,0,0,0.0217391304347826,0
Corvidae,5,3,2,0,0.0208333333333333,0.4
Environment,8,4,4,2.08730158730159,0.0222222222222222,0.5
Environmental,1,1,0,0,0.0192307692307692,0
Falconiformes,5,5,0,0,0.0222222222222222,0
Galliformes,26,9,17,52.2468253968254,0.0303030303030303,0.653846153846154
Insect,2,2,0,0,0.02,0
mammal,15,8,7,5.85793650793651,0.024390243902439,0.466666666666667
Passeriformes,3,3,0,0,0.0208333333333333,0
Pelecaniformes,2,2,0,0,0.02,0
Podicipediformes,2,2,0,0,0.0204081632653061,0
Primates,6,5,1,0,0.0222222222222222,0.166666666666667
Rodentia,1,1,0,0,0.0178571428571429,0
Scolopacidae,1,1,0,0,0.0178571428571429,0
Sphenisciformes,5,3,2,0.361111111111111,0.0204081632653061,0.4
Strigiformes,1,1,0,0,0.0192307692307692,0
Struthioniformes,3,3,0,0,0.0204081632653061,0
Suliformes,7,4,3,1.16666666666667,0.0212765957446809,0.428571428571429
